Pflanzen Weiglein GmbH, Wiesentheid, Germany: info@pflanzen-weiglein.de
Agrar eG, Güstrow, Germany: Not Found
Stecknitz Bioenergie Krummesse GmbH & Co. KG, Krummesse, Germany: Not Found
Gesellschaft zur Förderung des Tierwohls in der Nutztierhaltung mbH, Bonn, Germany: info@initiative-tierwohl.de
Horsch Holding SE, Schwandorf, Germany: info@horsch.com
Charles River Laboratories, Research Models and Services, Germany GmbH, Sulzfeld, Germany: Not Found
B. H. Holding GmbH, Dortmund, Germany: Not Found
KWS SAAT SE & Co. KGaA, Einbeck, Germany: info@kws.com
Buir-Bliesheimer Agrargenossenschaft eG, Nörvenich, Germany: info@buir-bliesheimer.de
Franz-Josef Rothkötter Grundstücksverwaltungs GmbH & Co. KG, Haren (Ems), Germany: info@rothkoetter.de
Kanganya GmbH, Hamburg, Germany: Not Found
Hofgut Eichigt GmbH, Eichigt, Germany: info@hofgut-eichigt.de
Dümmen Group GmbH, Rheinberg, Germany: Not Found
Aurum Agrar GmbH, Hirschberg a. d. Bergstraße, Germany: Not Found
NORDSAAT - Holding GmbH, Halberstadt, Germany: nordsaat@nordsaat.de
BUDISSA Agrarprodukte AG Niederkaina, Bautzen, Germany: info@budissa-ag.de
Vion Beef Süd GmbH, Buchloe, Germany: Not Found
Landhandel Ströh GmbH & Co.KG, Neuengörs, Germany: info@landhandel-stroeh.de
WARNON Service- und Verwaltungsgesellschaft mbH, Weitendorf, Germany: info@warnon.de
Vier Jahreszeiten Winzer eG, Bad Dürkheim, Germany: info@vj-wein.de
Gut Sternberg GmbH & Co. KG, Sternberg, Germany: Not Found
BioBoden Genossenschaft eG, Rothenklempenow, Germany: info@bioboden.de
Gut Stieten GmbH & Co. KG, Kobrow, Germany: gutsternberg@t-online.de
Agrargenossenschaft eG Köchelstorf, Wedendorfersee, Germany: agrar-koechelstorf@hot.mail.de
Gut Lewitz GmbH, Neustadt-Glewe, Germany: Not Found
P. H. Petersen Saatzucht Lundsgaard GmbH, Grundhof, Germany: service@phpetersen.com
Agrargenossenschaft MAVEK eG, Lugau, Germany: Not Found
Huelsenberg Finanztreuhand GmbH & Co. KG, Pinneberg, Germany: Not Found
Agrar GmbH Gut Ferdinandshof, Wilhelmsburg, Germany: Not Found
Minitube International AG, Tiefenbach, Germany: minitube@mintube.de
Agrargenossenschaft Mühlberg eG, Mühlberg/Elbe, Germany: info@ag-mbg.de
Agrar ZG Projektbeteiligungs GmbH, Oranienburg, Germany: Not Found
Besitzgesellschaft Salzfurtkapelle GmbH & Co. KG, Zörbig, Germany: Not Found
UPL Deutschland GmbH, Hürth, Germany: sales-de@upl-ltd.com
TORRE DEL SOL GmbH & Co. KG, Schlüsselfeld, Germany: Not Found
Agrotechnika GmbH, Berlin, Germany: mail@agrotechnika-walldorf.de
Methauer AGRO-AG, Zettlitz, Germany: info@methauer-agro-ag.de
Agrobetrieb eG Kaliß, Neu Kaliß, Germany: Not Found
Graf von Moy GmbH & Co. KG, Rennertshofen, Germany: Not Found
KOEPON Farms GmbH, Kaarz, Germany: Not Found
SHW Verwaltungs GmbH, Süderholz, Germany: Not Found
NORDSAAT Agrargesellschaft mbH, Martensrade, Germany: Not Found
HERBA GERMANY GmbH, Hamburg, Germany: Not Found
Agrargesellschaft Pfiffelbach mbH, Ilmtal-Weinstraße, Germany: info@ag-pfiffelbach.de
Saatzucht Steinach GmbH & Co. KG, Steinach, Germany: info@saatzucht.de
Genossenschaftskellerei Heilbronn eG, Heilbronn, Germany: info@wg-heilbronn.de
Agrar eG Guthmannshausen, Buttstädt, Germany: r.hecker@agrar-guthmannshausen.de
